tanggal,jenis,qty,harga,jumlah
2023-05-08,CRMTT,1000.0,23000.0,23000000.0
2023-05-09,CRMTT,979.0,23000.0,22517000.0
2023-05-10,CRMTT,958.0,23000.0,22034000.0
2023-05-11,CRMTT,1550.0,53000.0,39206000.0
2023-05-12,CRMTT,1420.5,41500.0,38968000.0
2023-05-13,CRMTT,1291.0,30000.0,38730000.0
2023-05-14,CRMTT,1044.3,30000.0,31329000.0
2023-05-15,CRMTT,797.6,30000.0,23928000.0
2023-05-16,CRMTT,550.9000000000001,30000.0,16527000.0
2023-05-17,CRMTT,304.20000000000005,30000.0,9126000.0
2023-05-18,CRMTT,57.5,30000.0,1725000.0
2023-05-19,CRMTT,576.0,24000.0,13824000.0
2023-05-20,CRMTT,795.6666666666666,46000.0,20203000.0
2023-05-21,CRMTT,1015.3333333333333,68000.0,26582000.0
2023-05-22,CRMTT,1235.0,90000.0,32961000.0
2023-05-23,CRMTT,1968.0,38000.0,74784000.0
2023-05-24,CRMTT,1474.25,38000.0,56021500.0
2023-05-25,CRMTT,980.5,38000.0,37259000.0
2023-05-26,CRMTT,1221.125,38000.0,46402750.0
2023-05-27,CRMTT,1461.75,38000.0,55546500.0
2023-05-28,CRMTT,1702.375,38000.0,64690250.0
2023-05-29,CRMTT,1943.0,38000.0,73834000.0
2023-05-30,CRMTT,1750.75,36625.0,64914250.0
2023-05-31,CRMTT,1558.5,35250.0,55994500.0
2023-06-01,CRMTT,1366.25,33875.0,47074750.0
2023-06-02,CRMTT,1174.0,32500.0,38155000.0
2023-06-03,CRMTT,1427.4666666666667,44500.0,48638500.0
2023-06-04,CRMTT,1680.9333333333334,56500.0,59122000.0
2023-06-05,CRMTT,1934.4,68500.0,69605500.0
2023-06-06,CRMTT,1787.9333333333334,68666.66666666667,62923666.666666664
2023-06-07,CRMTT,1641.4666666666667,68833.33333333333,56241833.333333336
2023-06-08,CRMTT,1495.0,69000.0,49560000.0
2023-06-09,CRMTT,1282.5,68500.0,42925000.0
2023-06-10,CRMTT,1070.0,68000.0,36290000.0
2023-06-11,CRMTT,774.75,51500.0,26536250.0
2023-06-12,CRMTT,479.5,35000.0,16782500.0
2023-06-13,CRMTT,679.5,44333.333333333336,21334833.333333332
2023-06-14,CRMTT,879.5,53666.66666666667,25887166.666666664
2023-06-15,CRMTT,1079.5,63000.0,30439500.0
2023-06-16,CRMTT,951.0,28000.0,26628000.0
2023-06-17,CRMTT,1213.1666666666667,27333.333333333332,32810333.333333332
2023-06-18,CRMTT,1475.3333333333335,26666.666666666668,38992666.666666664
2023-06-19,CRMTT,1737.5,26000.0,45175000.0
2023-06-20,CRMTT,1262.5,26000.0,32825000.0
2023-06-21,CRMTT,1506.6666666666667,34666.666666666664,39173333.333333336
2023-06-22,CRMTT,1750.8333333333333,43333.33333333333,45521666.666666664
2023-06-23,CRMTT,1995.0,52000.0,51870000.0
2023-06-24,CRMTT,1686.6666666666667,51666.666666666664,43498333.333333336
2023-06-25,CRMTT,1378.3333333333335,51333.333333333336,35126666.666666664
2023-06-26,CRMTT,1070.0,51000.0,26755000.0
2023-06-27,CRMTT,878.75,43750.0,21743750.0
2023-06-28,CRMTT,687.5,36500.0,16732500.0
2023-06-29,CRMTT,496.25,29250.0,11721250.0
2023-06-30,CRMTT,305.0,22000.0,6710000.0
