tanggal,jenis,qty,harga,jumlah
5/8/2023,CRMTT,"1,000","23,000.00","23,000,000.00"
5/8/2023,CRPTT,900,"16,500.00","14,850,000.00"
5/8/2023,CMK,280,"18,000.00","5,040,000.00"
5/10/2023,CMBTT,742,"18,000.00","13,356,000.00"
5/10/2023,CRMTT,958,"23,000.00","22,034,000.00"
5/10/2023,CRPTT,13,"16,500.00","214,500.00"
5/11/2023,CMBTT,"1,065","18,000.00","19,170,000.00"
5/11/2023,CRMTT,"1,042","23,000.00","23,966,000.00"
5/11/2023,CRPTT,5,"16,500.00","82,500.00"
5/11/2023,CMBTT,193,"18,000.00","3,474,000.00"
5/11/2023,CRMTT,508,"30,000.00","15,240,000.00"
5/11/2023,CRPTT,500,"17,500.00","8,750,000.00"
5/13/2023,CMBTT,"1,055","30,000.00","31,650,000.00"
5/13/2023,CRMTT,"1,291","30,000.00","38,730,000.00"
5/15/2023,CMBTT,483,"30,000.00","14,490,000.00"
5/16/2023,CMBTT,462,"30,000.00","13,860,000.00"
5/18/2023,CRMTT,58,"30,000.00","1,725,000.00"
5/19/2023,CRMTT,576,"24,000.00","13,824,000.00"
5/22/2023,CRMTT,534,"24,000.00","12,804,000.00"
5/22/2023,CMBTT,19,"29,000.00","551,000.00"
5/22/2023,CRMTT,650,"28,000.00","18,200,000.00"
5/22/2023,CRPTT,6,"16,000.00","96,000.00"
5/22/2023,CRMTT,52,"38,000.00","1,957,000.00"
5/22/2023,CRPTT,557,"16,000.00","8,912,000.00"
5/22/2023,CRPTT,"2,125","16,000.00","34,000,000.00"
5/22/2023,CMKTT,"1,000","16,000.00","16,000,000.00"
5/23/2023,CRMTT,"1,968","38,000.00","74,784,000.00"
5/23/2023,CRPTT,318,"16,000.00","5,088,000.00"
5/25/2023,CRMTT,981,"38,000.00","37,259,000.00"
5/29/2023,CRMTT,"1,943","38,000.00","73,834,000.00"
5/29/2023,CRPTT,"1,645","19,000.00","31,255,000.00"
5/29/2023,CMKTT,933,"19,000.00","17,727,000.00"
6/2/2023,CTMTT,57,"38,000.00","2,166,000.00"
6/2/2023,CRPTT,355,"19,000.00","6,745,000.00"
6/2/2023,CMKTT,67,"19,000.00","1,273,000.00"
6/2/2023,CRMTT,"1,174","32,500.00","38,155,000.00"
6/2/2023,CRPTT,"1,282","21,000.00","26,922,000.00"
6/5/2023,CRMTT,9,"32,500.00","305,500.00"
6/5/2023,CRPTT,"2,709","21,500.00","58,243,500.00"
6/5/2023,CMKTT,465,"19,500.00","9,059,700.00"
6/5/2023,CMKTT,285,"19,500.00","5,565,300.00"
6/5/2023,CRMTT,"1,925","36,000.00","69,300,000.00"
6/5/2023,CRPTT,242,"21,500.00","5,203,000.00"
6/8/2023,CRMTT,75,"36,000.00","2,700,000.00"
6/8/2023,CRPTT,49,"21,500.00","1,053,500.00"
6/8/2023,CMBTT,490,"23,000.00","11,270,000.00"
6/8/2023,CRMTT,"1,420","33,000.00","46,860,000.00"
6/8/2023,CRPTT,986,"21,500.00","21,199,000.00"
6/8/2023,CMKTT,279,"17,000.00","4,743,000.00"
6/10/2023,CMBTT,10,"23,000.00","230,000.00"
6/10/2023,CRMTT,580,"33,000.00","19,140,000.00"
6/10/2023,CRPTT,22,"21,500.00","473,000.00"
6/10/2023,CMKTT,9,"17,000.00","159,800.00"
6/10/2023,CMBTT,492,"25,000.00","12,300,000.00"
6/10/2023,CRMTT,490,"35,000.00","17,150,000.00"
6/10/2023,CRPTT,492,"21,000.00","10,332,000.00"
6/12/2023,CMBTT,"1,487","25,000.00","37,175,000.00"
6/12/2023,CRMTT,480,"35,000.00","16,782,500.00"
6/12/2023,CRPTT,"2,438","21,000.00","51,198,000.00"
6/12/2023,CMKTT,483,"19,000.00","9,167,500.00"
6/15/2023,CMBTT,21,"25,000.00","525,000.00"
6/15/2023,CRMTT,31,"35,000.00","1,067,500.00"
6/15/2023,CRPTT,70,"21,000.00","1,470,000.00"
6/15/2023,CMKTT,18,"19,000.00","332,500.00"
6/15/2023,CMBTT,"3,000","19,000.00","57,000,000.00"
6/15/2023,CRMTT,"1,049","28,000.00","29,372,000.00"
6/15/2023,CRPTT,420,"20,000.00","8,400,000.00"
6/16/2023,CMBTT,"1,417","19,000.00","26,923,000.00"
6/16/2023,CRMTT,951,"28,000.00","26,628,000.00"
6/17/2023,CRPTT,"1,580","20,000.00","31,600,000.00"
6/19/2023,CMBTT,"1,593","20,000.00","31,860,000.00"
6/19/2023,CRMTT,"1,738","26,000.00","45,175,000.00"
6/19/2023,CRPTT,772,"21,000.00","16,212,000.00"
6/20/2023,CMBTT,407,"20,000.00","8,140,000.00"
6/20/2023,CRMTT,"1,263","26,000.00","32,825,000.00"
6/23/2023,CRMTT,"1,980","26,000.00","51,480,000.00"
6/23/2023,CRMTT,15,"26,000.00","390,000.00"
6/23/2023,CRPTT,952,"20,250.00","19,278,000.00"
6/26/2023,CMBTT,480,"22,000.00","10,560,000.00"
6/26/2023,CRMTT,5,"26,000.00","130,000.00"
6/26/2023,CRMTT,"1,065","25,000.00","26,625,000.00"
6/26/2023,CRPTT,600,"22,000.00","13,200,000.00"
6/26/2023,CMKTT,500,"29,000.00","14,500,000.00"
6/27/2023,CMBTT,520,"22,000.00","11,440,000.00"
6/27/2023,CMBTT,986,"34,000.00","33,524,000.00"
6/27/2023,CRPTT,400,"22,000.00","8,800,000.00"
6/30/2023,CMBTT,14,"34,000.00","476,000.00"
6/30/2023,CMBTT,"1,100","28,000.00","30,800,000.00"
6/30/2023,CRMTT,305,"22,000.00","6,710,000.00"
6/30/2023,CRPTT,604,"20,000.00","12,080,000.00"
6/30/2023,CMKTT,200,"26,000.00","5,200,000.00"
7/3/2023,CRMTT,195,"22,000.00","4,290,000.00"
7/3/2023,CMBTT,"1,000","28,000.00","28,000,000.00"
7/3/2023,CRMTT,"1,980","24,000.00","47,520,000.00"
7/3/2023,CRPTT,333,"21,000.00","6,993,000.00"
7/7/2023,CRMTT,20,"24,000.00","480,000.00"
7/7/2023,CRMTT,"1,645","19,000.00","31,251,200.00"
7/7/2023,CRMTT,355,"19,000.00","6,748,800.00"
7/7/2023,CRPTT,200,"19,000.00","3,800,000.00"
7/10/2023,CRMTT,"2,000","17,250.00","34,500,000.00"
7/10/2023,CRPTT,544,"16,000.00","8,704,000.00"
7/15/2023,CMBTT,38,"21,000.00","798,000.00"
7/15/2023,CMBTT,500,"19,000.00","9,500,000.00"
7/15/2023,CRMTT,"1,489","19,000.00","28,291,000.00"
7/15/2023,CRPTT,672,"16,500.00","11,088,000.00"
7/17/2023,CRMTT,11,"19,000.00","209,000.00"
7/17/2023,CRPTT,18,"16,500.00","297,000.00"
7/17/2023,CRMTT,"1,000","23,000.00","23,000,000.00"
7/17/2023,CRPTT,672,"16,500.00","11,088,000.00"
7/17/2023,CMKTT,241,"23,000.00","5,543,000.00"
7/22/2023,CRPTT,31,"16,500.00","511,500.00"
7/22/2023,CRPTT,500,"16,000.00","8,000,000.00"
7/22/2023,CRMTT,921,"20,000.00","18,420,000.00"
7/24/2023,CRMTT,929,"20,000.00","18,580,000.00"
7/31/2023,CRMTT,"1,975","31,000.00","61,225,000.00"
7/31/2023,CRPTT,"1,000","20,000.00","20,000,000.00"
8/3/2023,CMBTT,"1,000","17,000.00","17,000,000.00"
8/3/2023,CRMTT,25,"31,000.00","775,000.00"
8/3/2023,CRPTT,789,"19,500.00","15,385,500.00"
8/3/2023,CMKTT,214,"26,000.00","5,564,000.00"
8/4/2023,CRMTT,"1,123","36,000.00","40,428,000.00"
8/7/2023,CRMTT,877,"36,000.00","31,572,000.00"
8/5/2023,CRPTT,"1,000","19,500.00","19,500,000.00"
8/6/2023,CRPTT,753,"19,500.00","14,683,500.00"
8/6/2023,CMKTT,550,"27,000.00","14,844,600.00"
8/6/2023,CRMTT,"1,098","41,500.00","45,567,000.00"
8/7/2023,CMBTT,"2,000","26,000.00","52,000,000.00"
8/7/2023,CRMTT,889,"41,500.00","36,893,500.00"
8/7/2023,CRPTT,6,"19,500.00","117,000.00"
8/11/2023,CRMTT,13,"41,500.00","539,500.00"
8/11/2023,CRMTT,"1,440","41,000.00","59,040,000.00"
8/11/2023,CRMTT,47,"41,000.00","1,927,000.00"
8/11/2023,CRPTT,"1,198","18,500.00","22,163,000.00"
8/14/2023,CRMTT,817,"41,000.00","33,488,800.00"
8/14/2023,CRPTT,10,"18,500.00","185,000.00"
8/14/2023,CRMTT,"3,000","42,000.00","126,000,000.00"
8/14/2023,CRPTT,791,"18,000.00","14,238,000.00"
8/14/2023,CMBTT,"3,000","20,500.00","61,500,000.00"
8/14/2023,CMKTT,590,"28,000.00","16,520,000.00"
8/15/2023,CMBTT,435,"20,500.00","8,917,500.00"
8/15/2023,CMKTT,530,"28,000.00","14,840,000.00"
8/15/2023,CRPTT,693,"18,000.00","12,474,000.00"
8/18/2023,CMBTT,565,"20,500.00","11,582,500.00"
8/18/2023,CMKTT,880,"28,000.00","24,640,000.00"
8/18/2023,CRPTT,16,"18,000.00","288,000.00"
8/18/2023,CRMTT,"1,410","46,000.00","64,860,000.00"
8/18/2023,CRPTT,354,"17,500.00","6,195,000.00"
8/21/2023,CRMTT,32,"46,000.00","1,462,800.00"
8/21/2023,CRMTT,806,"46,000.00","37,076,000.00"
8/21/2023,CRPTT,400,"18,000.00","7,200,000.00"
8/21/2023,CMBTT,840,"29,000.00","24,360,000.00"
8/24/2023,CRMTT,9,"46,000.00","414,000.00"
8/24/2023,CMBTT,160,"29,000.00","4,640,000.00"
8/24/2023,CRMTT,"1,000","34,000.00","34,000,000.00"
8/24/2023,CRPTT,761,"18,500.00","14,078,500.00"
8/28/2023,CMBTT,500,"35,000.00","17,500,000.00"
8/28/2023,CRMTT,975,"27,000.00","26,325,000.00"
8/28/2023,CRPTT,"1,140","17,500.00","19,950,000.00"
8/29/2023,CRMTT,"1,025","27,000.00","27,675,000.00"
8/29/2023,CMKTT,500,"37,000.00","18,500,000.00"
9/1/2023,CRMTT,"1,500","24,000.00","36,000,000.00"
9/1/2023,CRPTT,128,"16,500.00","2,112,000.00"
9/1/2023,CRMTT,170,"20,000.00","3,400,000.00"
9/1/2023,CRPTT,197,"16,500.00","3,250,500.00"
9/1/2023,CMKTT,500,"28,500.00","14,250,000.00"
