tanggal,jenis,qty,harga,jumlah
5/10/2023,CMBTT,742,"18,000.00","13,356,000.00"
5/11/2023,CMBTT,"1,065","18,000.00","19,170,000.00"
5/11/2023,CMBTT,193,"18,000.00","3,474,000.00"
5/13/2023,CMBTT,"1,055","30,000.00","31,650,000.00"
5/15/2023,CMBTT,483,"30,000.00","14,490,000.00"
5/16/2023,CMBTT,462,"30,000.00","13,860,000.00"
5/22/2023,CMBTT,19,"29,000.00","551,000.00"
6/8/2023,CMBTT,490,"23,000.00","11,270,000.00"
6/10/2023,CMBTT,10,"23,000.00","230,000.00"
6/10/2023,CMBTT,492,"25,000.00","12,300,000.00"
6/12/2023,CMBTT,"1,487","25,000.00","37,175,000.00"
6/15/2023,CMBTT,21,"25,000.00","525,000.00"
6/15/2023,CMBTT,"3,000","19,000.00","57,000,000.00"
6/16/2023,CMBTT,"1,417","19,000.00","26,923,000.00"
6/19/2023,CMBTT,"1,593","20,000.00","31,860,000.00"
6/20/2023,CMBTT,407,"20,000.00","8,140,000.00"
6/26/2023,CMBTT,480,"22,000.00","10,560,000.00"
6/27/2023,CMBTT,520,"22,000.00","11,440,000.00"
6/27/2023,CMBTT,986,"34,000.00","33,524,000.00"
6/30/2023,CMBTT,14,"34,000.00","476,000.00"
6/30/2023,CMBTT,"1,100","28,000.00","30,800,000.00"
7/3/2023,CMBTT,"1,000","28,000.00","28,000,000.00"
7/15/2023,CMBTT,38,"21,000.00","798,000.00"
7/15/2023,CMBTT,500,"19,000.00","9,500,000.00"
8/3/2023,CMBTT,"1,000","17,000.00","17,000,000.00"
8/7/2023,CMBTT,"2,000","26,000.00","52,000,000.00"
8/14/2023,CMBTT,"3,000","20,500.00","61,500,000.00"
8/15/2023,CMBTT,435,"20,500.00","8,917,500.00"
8/18/2023,CMBTT,565,"20,500.00","11,582,500.00"
8/21/2023,CMBTT,840,"29,000.00","24,360,000.00"
8/24/2023,CMBTT,160,"29,000.00","4,640,000.00"
8/28/2023,CMBTT,500,"35,000.00","17,500,000.00"
9/4/2023,CMBTT,995,"29,500.00","29,352,500.00"
9/19/2023,CMBTT,"1,080","20,000.00","21,600,000.00"
9/23/2023,CMBTT,920,"20,000.00","18,400,000.00"
9/25/2023,CMBTT,"1,000","24,500.00","24,500,000.00"
10/6/2023,CMBTT,782,"28,000.00","21,896,000.00"
10/9/2023,CMBTT,18,"28,000.00","504,000.00"
10/9/2023,CMBTT,"1,556","24,000.00","37,344,000.00"
10/10/2023,CMBTT,444,"24,000.00","10,656,000.00"
10/12/2023,CMBTT,965,"23,000.00","22,195,000.00"
10/16/2023,CMBTT,35,"23,000.00","805,000.00"
10/16/2023,CMBTT,"1,915","23,000.00","44,045,000.00"
10/17/2023,CMBTT,85,"23,000.00","1,955,000.00"
10/19/2023,CMBTT,"1,000","23,000.00","23,000,000.00"
