tanggal,jenis,qty,harga,jumlah
5/8/2023,CRPTT,900,"16,500.00","14,850,000.00"
5/10/2023,CRPTT,13,"16,500.00","214,500.00"
5/11/2023,CRPTT,5,"16,500.00","82,500.00"
5/11/2023,CRPTT,500,"17,500.00","8,750,000.00"
5/22/2023,CRPTT,6,"16,000.00","96,000.00"
5/22/2023,CRPTT,557,"16,000.00","8,912,000.00"
5/22/2023,CRPTT,"2,125","16,000.00","34,000,000.00"
5/23/2023,CRPTT,318,"16,000.00","5,088,000.00"
5/29/2023,CRPTT,"1,645","19,000.00","31,255,000.00"
6/2/2023,CRPTT,355,"19,000.00","6,745,000.00"
6/2/2023,CRPTT,"1,282","21,000.00","26,922,000.00"
6/5/2023,CRPTT,"2,709","21,500.00","58,243,500.00"
6/5/2023,CRPTT,242,"21,500.00","5,203,000.00"
6/8/2023,CRPTT,49,"21,500.00","1,053,500.00"
6/8/2023,CRPTT,986,"21,500.00","21,199,000.00"
6/10/2023,CRPTT,22,"21,500.00","473,000.00"
6/10/2023,CRPTT,492,"21,000.00","10,332,000.00"
6/12/2023,CRPTT,"2,438","21,000.00","51,198,000.00"
6/15/2023,CRPTT,70,"21,000.00","1,470,000.00"
6/15/2023,CRPTT,420,"20,000.00","8,400,000.00"
6/17/2023,CRPTT,"1,580","20,000.00","31,600,000.00"
6/19/2023,CRPTT,772,"21,000.00","16,212,000.00"
6/23/2023,CRPTT,952,"20,250.00","19,278,000.00"
6/26/2023,CRPTT,600,"22,000.00","13,200,000.00"
6/27/2023,CRPTT,400,"22,000.00","8,800,000.00"
6/30/2023,CRPTT,604,"20,000.00","12,080,000.00"
7/3/2023,CRPTT,333,"21,000.00","6,993,000.00"
7/7/2023,CRPTT,200,"19,000.00","3,800,000.00"
7/10/2023,CRPTT,544,"16,000.00","8,704,000.00"
7/15/2023,CRPTT,672,"16,500.00","11,088,000.00"
7/17/2023,CRPTT,18,"16,500.00","297,000.00"
7/17/2023,CRPTT,672,"16,500.00","11,088,000.00"
7/22/2023,CRPTT,31,"16,500.00","511,500.00"
7/22/2023,CRPTT,500,"16,000.00","8,000,000.00"
7/31/2023,CRPTT,"1,000","20,000.00","20,000,000.00"
8/3/2023,CRPTT,789,"19,500.00","15,385,500.00"
8/5/2023,CRPTT,"1,000","19,500.00","19,500,000.00"
8/6/2023,CRPTT,753,"19,500.00","14,683,500.00"
8/7/2023,CRPTT,6,"19,500.00","117,000.00"
8/11/2023,CRPTT,"1,198","18,500.00","22,163,000.00"
8/14/2023,CRPTT,10,"18,500.00","185,000.00"
8/14/2023,CRPTT,791,"18,000.00","14,238,000.00"
8/15/2023,CRPTT,693,"18,000.00","12,474,000.00"
8/18/2023,CRPTT,16,"18,000.00","288,000.00"
8/18/2023,CRPTT,354,"17,500.00","6,195,000.00"
8/21/2023,CRPTT,400,"18,000.00","7,200,000.00"
8/24/2023,CRPTT,761,"18,500.00","14,078,500.00"
8/28/2023,CRPTT,"1,140","17,500.00","19,950,000.00"
9/1/2023,CRPTT,128,"16,500.00","2,112,000.00"
9/1/2023,CRPTT,197,"16,500.00","3,250,500.00"
9/5/2023,CRPTT,"1,803","16,500.00","29,749,500.00"
9/8/2023,CRPTT,"1,700","16,000.00","27,200,000.00"
9/11/2023,CRPTT,300,"16,000.00","4,800,000.00"
9/22/2023,CRPTT,729,"18,000.00","13,122,000.00"
9/25/2023,CRPTT,789,"18,500.00","14,596,500.00"
9/29/2023,CRPTT,11,"18,500.00","203,500.00"
10/2/2023,CRPTT,"1,920","21,500.00","41,280,000.00"
10/3/2023,CRPTT,"1,053","21,500.00","22,639,500.00"
10/6/2023,CRPTT,27,"21,500.00","580,500.00"
