TANGGAL,JENIS,QTY,HARGA,JUMLAH
5/22/2023,CMKTT,"1,000","16,000.00","16,000,000.00"
5/29/2023,CMKTT,933,"19,000.00","17,727,000.00"
6/2/2023,CMKTT,67,"19,000.00","1,273,000.00"
6/5/2023,CMKTT,465,"19,500.00","9,059,700.00"
6/5/2023,CMKTT,285,"19,500.00","5,565,300.00"
6/8/2023,CMKTT,279,"17,000.00","4,743,000.00"
6/10/2023,CMKTT,9,"17,000.00","159,800.00"
6/12/2023,CMKTT,483,"19,000.00","9,167,500.00"
6/15/2023,CMKTT,18,"19,000.00","332,500.00"
6/26/2023,CMKTT,500,"29,000.00","14,500,000.00"
6/30/2023,CMKTT,200,"26,000.00","5,200,000.00"
7/17/2023,CMKTT,241,"23,000.00","5,543,000.00"
8/3/2023,CMKTT,214,"26,000.00","5,564,000.00"
8/6/2023,CMKTT,550,"27,000.00","14,844,600.00"
8/14/2023,CMKTT,590,"28,000.00","16,520,000.00"
8/15/2023,CMKTT,530,"28,000.00","14,840,000.00"
8/18/2023,CMKTT,880,"28,000.00","24,640,000.00"
8/29/2023,CMKTT,500,"37,000.00","18,500,000.00"
9/1/2023,CMKTT,500,"28,500.00","14,250,000.00"
9/23/2023,CMKTT,134,"19,000.00","2,546,000.00"
9/25/2023,CMKTT,320,"24,500.00","7,840,000.00"
10/2/2023,CMKTT,300,"31,000.00","9,300,000.00"
10/6/2023,CMKTT,100,"29,000.00","2,900,000.00"
10/10/2023,CMKTT,227,"25,500.00","5,788,500.00"
10/12/2023,CMKTT,500,"25,000.00","12,500,000.00"
10/19/2023,CMKTT,472,"30,500.00","14,396,000.00"
10/23/2023,CMKTT,128,"30,500.00","3,904,000.00"
10/23/2023,CMKTT,132,"33,000.00","4,356,000.00"
10/25/2023,CMKTT,68,"33,000.00","2,244,000.00"
11/3/2023,CMKTT,195,"54,000.00","10,530,000.00"
11/8/2023,CMKTT,231,"65,000.00","15,015,000.00"
11/13/2023, CMKTT ,100,"72,000.00","7,200,000.00"
11/20/2023, CMKTT ,500,"64,000.00","32,000,000.00"
11/24/2023, CMKTT ,326,"75,000.00","24,465,000.00"
11/30/2023, CMKTT ,200,"68,000.00","13,627,200.00"
11/30/2023, CMKTT ,54,"66,000.00","3,564,000.00"
12/4/2023, CMKTT ,292,"78,000.00","22,776,000.00"
12/7/2023, CMKTT ,208,"78,000.00","16,224,000.00"
12/7/2023, CMKTT ,200,"80,000.00","16,000,000.00"
12/13/2023, CMKTT ,861,"83,000.00","71,463,000.00"
12/15/2023, CMKTT ,139,"83,000.00","11,537,000.00"
12/19/2023,CMKTT,"1,000","45,000.00","45,000,000.00"
1/2/2024,CMKTT,986,"53,000.00","52,258,000.00"
1/5/2024,CMKTT,14,"53,000.00","742,000.00"
1/5/2024,CMKTT,564,"54,000.00","30,456,000.00"
1/8/2024,CMKTT,600,"49,000.00","29,400,000.00"
1/10/2024,CMKTT,"1,091","49,000.00","53,459,000.00"
1/12/2024,CMKTT,309,"49,000.00","15,141,000.00"
1/17/2024,CMKTT,125,"55,000.00","6,875,000.00"
1/20/2024,CMKTT,875,"55,000.00","48,125,000.00"
1/20/2024,CMKTT,456,"49,000.00","22,344,000.00"
1/22/2024,CMKTT,44,"49,000.00","2,156,000.00"
1/22/2024,CMKTT,500,"52,000.00","26,000,000.00"
1/29/2024,CMKTT,500,"55,000.00","27,500,000.00"
2/2/2024,CMKTT,460,"40,000.00","18,400,000.00"
2/3/2024,CMKTT,40,"40,000.00","1,600,000.00"
2/5/2024,CMKTT,382,"54,000.00","20,628,000.00"
2/6/2024,CMKTT,591,"54,000.00","31,914,000.00"
2/10/2024,CMKTT,27,"54,000.00","1,458,000.00"
2/10/2024,CMKTT,400,"54,000.00","21,600,000.00"
2/15/2024,CMKTT,678,"68,000.00","46,104,000.00"
2/19/2024,CMKTT,194,"68,000.00","13,192,000.00"
2/21/2024,CMKTT,128,"68,000.00","8,704,000.00"
2/23/2024,CMKTT,489,"78,000.00","38,142,000.00"
2/23/2024,CMKTT,511,"78,000.00","39,858,000.00"
2/29/2024,CMKTT,112,"71,000.00","7,952,000.00"
3/5/2024,CMKTT,364,"59,000.00","21,476,000.00"
3/6/2024,CMKTT,693,"59,000.00","40,887,000.00"
3/8/2024,CMKTT,692,"59,000.00","40,828,000.00"
3/12/2024,CMKTT,251,"59,000.00","14,809,000.00"
3/12/2024,CMKTT,"1,000","55,000.00","55,000,000.00"
3/12/2024,CMKTT,159,"58,000.00","9,222,000.00"
3/16/2024,CMKTT,"1,037","58,000.00","60,146,000.00"
3/19/2024,CMKTT,353,"58,000.00","20,445,000.00"
3/21/2024,CMKTT,159,"58,000.00","9,216,200.00"
3/21/2024,CMKTT,100,"37,000.00","3,700,000.00"
4/16/2024,CMKTT,244,"29,000.00","7,076,000.00"
4/18/2024,CMKTT,3,"29,000.00","87,000.00"
4/20/2024,CMKTT,289,"20,000.00","5,780,000.00"
4/22/2024,CMKTT,27,"20,000.00","540,000.00"
4/22/2024,CMKTT,500,"32,000.00","16,000,000.00"
4/23/2024,CMKTT,493,"32,000.00","15,776,000.00"
4/26/2024,CMKTT,7,"32,000.00","224,000.00"
4/26/2024,CMKTT,443,"32,000.00","14,176,000.00"
4/28/2024,CMKTT,307,"32,000.00","9,824,000.00"
4/29/2024,CMKTT,546,"52,000.00","28,392,000.00"
4/30/2024,CMKTT,432,"52,000.00","22,464,000.00"
5/3/2024,CMKTT,22,"52,000.00","1,144,000.00"
5/6/2024,CMKTT,245,"48,000.00","11,760,000.00"
5/7/2024,CMKTT,476,"48,000.00","22,848,000.00"
5/13/2024,CMKTT,279,"48,000.00","13,392,000.00"
5/13/2024,CMKTT,140,"31,000.00","4,340,000.00"
5/18/2024,CMKTT,668,"33,000.00","22,044,000.00"
5/20/2024,CMKTT,276,"33,000.00","9,114,600.00"
