TANGGAL,JENIS,QTY,HARGA,JUMLAH
5/8/2023,CRMTT,"1,000.00","23,000.00","23,000,000.00"
5/10/2023,CRMTT,958.00,"23,000.00","22,034,000.00"
5/11/2023,CRMTT,"1,042.00","23,000.00","23,966,000.00"
5/11/2023,CRMTT,508.00,"30,000.00","15,240,000.00"
5/13/2023,CRMTT,"1,291.00","30,000.00","38,730,000.00"
5/18/2023,CRMTT,57.50,"30,000.00","1,725,000.00"
5/19/2023,CRMTT,576.00,"24,000.00","13,824,000.00"
5/22/2023,CRMTT,533.50,"24,000.00","12,804,000.00"
5/22/2023,CRMTT,650.00,"28,000.00","18,200,000.00"
5/22/2023,CRMTT,51.50,"38,000.00","1,957,000.00"
5/23/2023,CRMTT,"1,968.00","38,000.00","74,784,000.00"
5/25/2023,CRMTT,980.50,"38,000.00","37,259,000.00"
5/29/2023,CRMTT,"1,943.00","38,000.00","73,834,000.00"
6/2/2023,CRMTT,"1,174.00","32,500.00","38,155,000.00"
6/5/2023,CRMTT,9.40,"32,500.00","305,500.00"
6/5/2023,CRMTT,"1,925.00","36,000.00","69,300,000.00"
6/8/2023,CRMTT,75.00,"36,000.00","2,700,000.00"
6/8/2023,CRMTT,"1,420.00","33,000.00","46,860,000.00"
6/10/2023,CRMTT,580.00,"33,000.00","19,140,000.00"
6/10/2023,CRMTT,490.00,"35,000.00","17,150,000.00"
6/12/2023,CRMTT,479.50,"35,000.00","16,782,500.00"
6/15/2023,CRMTT,30.50,"35,000.00","1,067,500.00"
6/15/2023,CRMTT,"1,049.00","28,000.00","29,372,000.00"
6/16/2023,CRMTT,951.00,"28,000.00","26,628,000.00"
6/19/2023,CRMTT,"1,737.50","26,000.00","45,175,000.00"
6/20/2023,CRMTT,"1,262.50","26,000.00","32,825,000.00"
6/23/2023,CRMTT,"1,980.00","26,000.00","51,480,000.00"
6/23/2023,CRMTT,15.00,"26,000.00","390,000.00"
6/26/2023,CRMTT,5.00,"26,000.00","130,000.00"
6/26/2023,CRMTT,"1,065.00","25,000.00","26,625,000.00"
6/30/2023,CRMTT,305.00,"22,000.00","6,710,000.00"
7/3/2023,CRMTT,195.00,"22,000.00","4,290,000.00"
7/3/2023,CRMTT,"1,980.00","24,000.00","47,520,000.00"
7/7/2023,CRMTT,20.00,"24,000.00","480,000.00"
7/7/2023,CRMTT,"1,644.80","19,000.00","31,251,200.00"
7/7/2023,CRMTT,355.20,"19,000.00","6,748,800.00"
7/10/2023,CRMTT,"2,000.00","17,250.00","34,500,000.00"
7/15/2023,CRMTT,"1,489.00","19,000.00","28,291,000.00"
7/17/2023,CRMTT,11.00,"19,000.00","209,000.00"
7/17/2023,CRMTT,"1,000.00","23,000.00","23,000,000.00"
7/22/2023,CRMTT,921.00,"20,000.00","18,420,000.00"
7/24/2023,CRMTT,929.00,"20,000.00","18,580,000.00"
7/31/2023,CRMTT,"1,975.00","31,000.00","61,225,000.00"
8/3/2023,CRMTT,25.00,"31,000.00","775,000.00"
8/4/2023,CRMTT,"1,123.00","36,000.00","40,428,000.00"
8/7/2023,CRMTT,877.00,"36,000.00","31,572,000.00"
8/6/2023,CRMTT,"1,098.00","41,500.00","45,567,000.00"
8/7/2023,CRMTT,889.00,"41,500.00","36,893,500.00"
8/11/2023,CRMTT,13.00,"41,500.00","539,500.00"
8/11/2023,CRMTT,"1,440.00","41,000.00","59,040,000.00"
8/11/2023,CRMTT,47.00,"41,000.00","1,927,000.00"
8/14/2023,CRMTT,816.80,"41,000.00","33,488,800.00"
8/14/2023,CRMTT,"3,000.00","42,000.00","126,000,000.00"
8/18/2023,CRMTT,"1,410.00","46,000.00","64,860,000.00"
8/21/2023,CRMTT,31.80,"46,000.00","1,462,800.00"
8/21/2023,CRMTT,806.00,"46,000.00","37,076,000.00"
8/24/2023,CRMTT,9.00,"46,000.00","414,000.00"
8/24/2023,CRMTT,"1,000.00","34,000.00","34,000,000.00"
